metric,uiType,mean,median,std,Q1,Q3,IQR,min,max,n
taskTime,baseline,65.5531,68.958,30.5681,52.073,80.954,28.881,15.838,108.828,9
taskTime,guided,57.8008,54.152,23.4592,45.104,57.67,12.566,35.444,115.338,9
attempts,baseline,4.6667,5.0,1.5,5.0,5.0,0.0,1.0,6.0,9
attempts,guided,1.3333,1.0,0.5,1.0,2.0,1.0,1.0,2.0,9
errorCount,baseline,6.3333,7.0,2.6926,6.0,8.0,2.0,0.0,9.0,9
errorCount,guided,0.4444,0.0,0.7265,0.0,1.0,1.0,0.0,2.0,9
warningCount,baseline,2.6667,2.0,2.3452,1.0,3.0,2.0,0.0,8.0,9
warningCount,guided,0.3333,0.0,0.5,0.0,1.0,1.0,0.0,1.0,9
errorsPerAttempt,baseline,1.237,1.4,0.5032,1.2,1.5,0.3,0.0,1.6,9
errorsPerAttempt,guided,0.2222,0.0,0.3632,0.0,0.5,0.5,0.0,1.0,9
warningsPerAttempt,baseline,0.6315,0.6,0.4802,0.3333,0.8,0.4667,0.0,1.6,9
warningsPerAttempt,guided,0.3333,0.0,0.5,0.0,1.0,1.0,0.0,1.0,9
successRate,baseline,0.6565,0.6452,0.075,0.6154,0.6786,0.0632,0.5517,0.8,9
successRate,guided,0.8889,0.9,0.0928,0.8,1.0,0.2,0.8,1.0,9
SUS,baseline,34.4444,35.0,10.2909,27.5,37.5,10.0,20.0,55.0,9
SUS,guided,81.9444,80.0,6.4684,77.5,85.0,7.5,72.5,95.0,9
Likert,baseline,2.0,2.0,0.4796,1.8,2.2,0.4,1.4,2.8,9
Likert,guided,4.2222,4.2,0.3528,4.0,4.4,0.4,3.8,5.0,9
firstAttemptComplianceSuccess,baseline,0.1111,0.0,0.3333,0.0,0.0,0.0,0.0,1.0,9
firstAttemptComplianceSuccess,guided,0.6667,1.0,0.5,0.0,1.0,1.0,0.0,1.0,9
taskSuccess,baseline,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,9
taskSuccess,guided,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,9
