participantId,uiType,startTimestamp,endTimestamp,attempts,firstAttemptComplianceSuccess,taskSuccess,errorCount,errors,warningCount,warnings,successesCount,successes,attemptHistory,sus_question1,sus_question2,sus_question3,sus_question4,sus_question5,sus_question6,sus_question7,sus_question8,sus_question9,sus_question10,custom_question1,custom_question2,custom_question3,custom_question4,custom_question5,open_feedback,timestamp,taskTime,SUS,Likert,errorsPerAttempt,warningsPerAttempt,totalChecks,successRate
P01,baseline,2026-03-28T09:34:18.212Z,2026-03-28T09:34:48.964Z,5,0,1,8,"{'Adjust Background': {'2': 3}, 'Adjust Face Position': {'3': 2, '4': 2, '5': 1}}",1,{'Adjust Face Position': {'6': 1}},18,"{'Find Face': {'6': 5}, 'Adjust Lightning': {'7': 5}, 'Adjust Face Expression': {'4': 5}, 'Adjust Background': {'3': 2}, 'Adjust Face Position': {'9': 1}}","[{'attempt': 1, 'timestamp': '2026-03-28T09:34:20.644Z', 'results': [{'step': 'Adjust Background', 'id': 2, 'hint': 'Error'}, {'step': 'Adjust Face Position', 'id': 5, 'hint': 'Error'}, {'step': 'Adjust Face Position', 'id': 4, 'hint': 'Error'}, {'step': 'Find Face', 'id': 6, 'hint': 'Success'}, {'step': 'Adjust Lightning', 'id': 7, 'hint': 'Success'}, {'step': 'Adjust Face Expression', 'id': 4, 'hint': 'Success'}]}, {'attempt': 2, 'timestamp': '2026-03-28T09:34:24.634Z', 'results': [{'step': 'Adjust Face Position', 'id': 4, 'hint': 'Error'}, {'step': 'Adjust Face Position', 'id': 6, 'hint': 'Warning'}, {'step': 'Find Face', 'id': 6, 'hint': 'Success'}, {'step': 'Adjust Lightning', 'id': 7, 'hint': 'Success'}, {'step': 'Adjust Background', 'id': 3, 'hint': 'Success'}, {'step': 'Adjust Face Expression', 'id': 4, 'hint': 'Success'}]}, {'attempt': 3, 'timestamp': '2026-03-28T09:34:33.861Z', 'results': [{'step': 'Adjust Background', 'id': 2, 'hint': 'Error'}, {'step': 'Adjust Face Position', 'id': 3, 'hint': 'Error'}, {'step': 'Find Face', 'id': 6, 'hint': 'Success'}, {'step': 'Adjust Lightning', 'id': 7, 'hint': 'Success'}, {'step': 'Adjust Face Expression', 'id': 4, 'hint': 'Success'}]}, {'attempt': 4, 'timestamp': '2026-03-28T09:34:39.497Z', 'results': [{'step': 'Adjust Background', 'id': 2, 'hint': 'Error'}, {'step': 'Adjust Face Position', 'id': 3, 'hint': 'Error'}, {'step': 'Find Face', 'id': 6, 'hint': 'Success'}, {'step': 'Adjust Lightning', 'id': 7, 'hint': 'Success'}, {'step': 'Adjust Face Expression', 'id': 4, 'hint': 'Success'}]}, {'attempt': 5, 'timestamp': '2026-03-28T09:34:47.859Z', 'results': [{'step': 'Find Face', 'id': 6, 'hint': 'Success'}, {'step': 'Adjust Lightning', 'id': 7, 'hint': 'Success'}, {'step': 'Adjust Background', 'id': 3, 'hint': 'Success'}, {'step': 'Adjust Face Position', 'id': 9, 'hint': 'Success'}, {'step': 'Adjust Face Expression', 'id': 4, 'hint': 'Success'}]}]",2,3,4,3,2,4,1,4,3,1,1,1,3,2,2,Instructions could have been more clear. I didn’t know what to do really. There were no instructions.,2026-03-28T09:34:09.377Z,30.752,42.5,1.8,1.6,0.2,27,0.6666666666666666
P02,optimized,2026-03-28T09:37:51.713Z,2026-03-28T09:38:36.817Z,1,1,1,0,{},0,{},5,"{'Find Face': {'6': 1}, 'Adjust Lightning': {'7': 1}, 'Adjust Background': {'3': 1}, 'Adjust Face Position': {'9': 1}, 'Adjust Face Expression': {'4': 1}}","[{'attempt': 1, 'timestamp': '2026-03-28T09:38:34.054Z', 'results': [{'step': 'Find Face', 'id': 6, 'hint': 'Success'}, {'step': 'Adjust Lightning', 'id': 7, 'hint': 'Success'}, {'step': 'Adjust Background', 'id': 3, 'hint': 'Success'}, {'step': 'Adjust Face Position', 'id': 9, 'hint': 'Success'}, {'step': 'Adjust Face Expression', 'id': 4, 'hint': 'Success'}]}]",4,2,4,2,5,2,4,2,4,1,4,4,4,5,4,Guidance trough the photo taking process was fluent and easy to understand. Alignments made it clear what to do. Clear instructions.,2026-03-28T09:37:19.363Z,45.104,80.0,4.2,0.0,0.0,5,1.0
P03,baseline,2026-03-28T09:41:27.531Z,2026-03-28T09:42:19.604Z,5,0,1,8,"{'Adjust Background': {'2': 3}, 'Adjust Face Position': {'3': 3, '4': 1, '5': 1}}",3,"{'Adjust Face Position': {'6': 1}, 'Adjust Lightning': {'6': 2}}",16,"{'Find Face': {'6': 5}, 'Adjust Lightning': {'7': 3}, 'Adjust Face Expression': {'4': 5}, 'Adjust Background': {'3': 2}, 'Adjust Face Position': {'9': 1}}","[{'attempt': 1, 'timestamp': '2026-03-28T09:41:37.715Z', 'results': [{'step': 'Adjust Background', 'id': 2, 'hint': 'Error'}, {'step': 'Adjust Face Position', 'id': 4, 'hint': 'Error'}, {'step': 'Adjust Face Position', 'id': 6, 'hint': 'Warning'}, {'step': 'Find Face', 'id': 6, 'hint': 'Success'}, {'step': 'Adjust Lightning', 'id': 7, 'hint': 'Success'}, {'step': 'Adjust Face Expression', 'id': 4, 'hint': 'Success'}]}, {'attempt': 2, 'timestamp': '2026-03-28T09:41:45.971Z', 'results': [{'step': 'Adjust Face Position', 'id': 5, 'hint': 'Error'}, {'step': 'Adjust Face Position', 'id': 3, 'hint': 'Error'}, {'step': 'Adjust Lightning', 'id': 6, 'hint': 'Warning'}, {'step': 'Find Face', 'id': 6, 'hint': 'Success'}, {'step': 'Adjust Background', 'id': 3, 'hint': 'Success'}, {'step': 'Adjust Face Expression', 'id': 4, 'hint': 'Success'}]}, {'attempt': 3, 'timestamp': '2026-03-28T09:41:59.861Z', 'results': [{'step': 'Adjust Background', 'id': 2, 'hint': 'Error'}, {'step': 'Adjust Face Position', 'id': 3, 'hint': 'Error'}, {'step': 'Find Face', 'id': 6, 'hint': 'Success'}, {'step': 'Adjust Lightning', 'id': 7, 'hint': 'Success'}, {'step': 'Adjust Face Expression', 'id': 4, 'hint': 'Success'}]}, {'attempt': 4, 'timestamp': '2026-03-28T09:42:04.428Z', 'results': [{'step': 'Adjust Background', 'id': 2, 'hint': 'Error'}, {'step': 'Adjust Face Position', 'id': 3, 'hint': 'Error'}, {'step': 'Find Face', 'id': 6, 'hint': 'Success'}, {'step': 'Adjust Lightning', 'id': 7, 'hint': 'Success'}, {'step': 'Adjust Face Expression', 'id': 4, 'hint': 'Success'}]}, {'attempt': 5, 'timestamp': '2026-03-28T09:42:18.177Z', 'results': [{'step': 'Adjust Lightning', 'id': 6, 'hint': 'Warning'}, {'step': 'Find Face', 'id': 6, 'hint': 'Success'}, {'step': 'Adjust Background', 'id': 3, 'hint': 'Success'}, {'step': 'Adjust Face Position', 'id': 9, 'hint': 'Success'}, {'step': 'Adjust Face Expression', 'id': 4, 'hint': 'Success'}]}]",2,2,2,4,1,4,1,2,2,1,2,2,3,4,2,No clear instructions on how to take photo. Try and error was required until i had compliant photo.,2026-03-28T09:40:36.949Z,52.073,37.5,2.6,1.6,0.6,27,0.5925925925925926
P04,optimized,2026-03-29T09:49:11.275Z,2026-03-29T09:51:06.613Z,1,1,1,0,{},0,{},5,"{'Find Face': {'6': 1}, 'Adjust Lightning': {'7': 1}, 'Adjust Background': {'3': 1}, 'Adjust Face Position': {'9': 1}, 'Adjust Face Expression': {'4': 1}}","[{'attempt': 1, 'timestamp': '2026-03-29T09:51:05.280Z', 'results': [{'step': 'Find Face', 'id': 6, 'hint': 'Success'}, {'step': 'Adjust Lightning', 'id': 7, 'hint': 'Success'}, {'step': 'Adjust Background', 'id': 3, 'hint': 'Success'}, {'step': 'Adjust Face Position', 'id': 9, 'hint': 'Success'}, {'step': 'Adjust Face Expression', 'id': 4, 'hint': 'Success'}]}]",3,2,5,1,4,2,3,2,3,2,4,5,3,4,4,Well designed guidance. Overlays were very helpful. And instructions clear.,2026-03-29T09:45:42.981Z,115.338,72.5,4.0,0.0,0.0,5,1.0
P05,baseline,2026-03-29T09:53:50.294Z,2026-03-29T09:55:39.122Z,5,0,1,6,"{'Adjust Background': {'2': 1}, 'Adjust Face Position': {'3': 2, '4': 1, '7': 1}, 'Adjust Face Expression': {'3': 1}}",4,{'Adjust Lightning': {'6': 4}},16,"{'Find Face': {'6': 5}, 'Adjust Lightning': {'7': 1}, 'Adjust Face Expression': {'4': 4}, 'Adjust Background': {'3': 4}, 'Adjust Face Position': {'9': 2}}","[{'attempt': 1, 'timestamp': '2026-03-29T09:54:03.164Z', 'results': [{'step': 'Adjust Background', 'id': 2, 'hint': 'Error'}, {'step': 'Adjust Face Position', 'id': 4, 'hint': 'Error'}, {'step': 'Find Face', 'id': 6, 'hint': 'Success'}, {'step': 'Adjust Lightning', 'id': 7, 'hint': 'Success'}, {'step': 'Adjust Face Expression', 'id': 4, 'hint': 'Success'}]}, {'attempt': 2, 'timestamp': '2026-03-29T09:54:20.048Z', 'results': [{'step': 'Adjust Face Position', 'id': 3, 'hint': 'Error'}, {'step': 'Adjust Lightning', 'id': 6, 'hint': 'Warning'}, {'step': 'Find Face', 'id': 6, 'hint': 'Success'}, {'step': 'Adjust Background', 'id': 3, 'hint': 'Success'}, {'step': 'Adjust Face Expression', 'id': 4, 'hint': 'Success'}]}, {'attempt': 3, 'timestamp': '2026-03-29T09:54:43.254Z', 'results': [{'step': 'Adjust Face Expression', 'id': 3, 'hint': 'Error'}, {'step': 'Adjust Lightning', 'id': 6, 'hint': 'Warning'}, {'step': 'Find Face', 'id': 6, 'hint': 'Success'}, {'step': 'Adjust Background', 'id': 3, 'hint': 'Success'}, {'step': 'Adjust Face Position', 'id': 9, 'hint': 'Success'}]}, {'attempt': 4, 'timestamp': '2026-03-29T09:55:02.512Z', 'results': [{'step': 'Adjust Face Position', 'id': 7, 'hint': 'Error'}, {'step': 'Adjust Face Position', 'id': 3, 'hint': 'Error'}, {'step': 'Adjust Lightning', 'id': 6, 'hint': 'Warning'}, {'step': 'Find Face', 'id': 6, 'hint': 'Success'}, {'step': 'Adjust Background', 'id': 3, 'hint': 'Success'}, {'step': 'Adjust Face Expression', 'id': 4, 'hint': 'Success'}]}, {'attempt': 5, 'timestamp': '2026-03-29T09:55:38.028Z', 'results': [{'step': 'Adjust Lightning', 'id': 6, 'hint': 'Warning'}, {'step': 'Find Face', 'id': 6, 'hint': 'Success'}, {'step': 'Adjust Background', 'id': 3, 'hint': 'Success'}, {'step': 'Adjust Face Position', 'id': 9, 'hint': 'Success'}, {'step': 'Adjust Face Expression', 'id': 4, 'hint': 'Success'}]}]",1,3,1,4,2,3,2,3,2,2,1,1,3,4,1,No instructions at all. Only if photo compliant or not. Multiple try’s were needed until compliant photo was achieved.,2026-03-29T09:52:44.349Z,108.828,32.5,2.0,1.2,0.8,26,0.6153846153846154
P06,optimized,2026-03-29T10:00:36.324Z,2026-03-29T10:01:42.700Z,2,0,1,2,"{'Adjust Background': {'2': 1}, 'Adjust Face Position': {'7': 1}}",0,{},8,"{'Find Face': {'6': 2}, 'Adjust Lightning': {'7': 2}, 'Adjust Face Expression': {'4': 2}, 'Adjust Background': {'3': 1}, 'Adjust Face Position': {'9': 1}}","[{'attempt': 1, 'timestamp': '2026-03-29T10:01:24.455Z', 'results': [{'step': 'Adjust Background', 'id': 2, 'hint': 'Error'}, {'step': 'Adjust Face Position', 'id': 7, 'hint': 'Error'}, {'step': 'Find Face', 'id': 6, 'hint': 'Success'}, {'step': 'Adjust Lightning', 'id': 7, 'hint': 'Success'}, {'step': 'Adjust Face Expression', 'id': 4, 'hint': 'Success'}]}, {'attempt': 2, 'timestamp': '2026-03-29T10:01:38.690Z', 'results': [{'step': 'Find Face', 'id': 6, 'hint': 'Success'}, {'step': 'Adjust Lightning', 'id': 7, 'hint': 'Success'}, {'step': 'Adjust Background', 'id': 3, 'hint': 'Success'}, {'step': 'Adjust Face Position', 'id': 9, 'hint': 'Success'}, {'step': 'Adjust Face Expression', 'id': 4, 'hint': 'Success'}]}]",4,2,4,1,4,2,5,2,3,2,4,4,3,4,4,Helpful guidance.,2026-03-29T09:59:12.395Z,66.376,77.5,3.8,1.0,0.0,10,0.8
P07,baseline,2026-03-30T10:18:08.052Z,2026-03-30T10:19:29.006Z,6,0,1,8,"{'Adjust Background': {'2': 3}, 'Adjust Face Position': {'3': 5}}",0,{},22,"{'Find Face': {'6': 6}, 'Adjust Lightning': {'7': 6}, 'Adjust Face Expression': {'4': 6}, 'Adjust Background': {'3': 3}, 'Adjust Face Position': {'9': 1}}","[{'attempt': 1, 'timestamp': '2026-03-30T10:18:26.387Z', 'results': [{'step': 'Adjust Background', 'id': 2, 'hint': 'Error'}, {'step': 'Adjust Face Position', 'id': 3, 'hint': 'Error'}, {'step': 'Find Face', 'id': 6, 'hint': 'Success'}, {'step': 'Adjust Lightning', 'id': 7, 'hint': 'Success'}, {'step': 'Adjust Face Expression', 'id': 4, 'hint': 'Success'}]}, {'attempt': 2, 'timestamp': '2026-03-30T10:18:48.296Z', 'results': [{'step': 'Adjust Background', 'id': 2, 'hint': 'Error'}, {'step': 'Adjust Face Position', 'id': 3, 'hint': 'Error'}, {'step': 'Find Face', 'id': 6, 'hint': 'Success'}, {'step': 'Adjust Lightning', 'id': 7, 'hint': 'Success'}, {'step': 'Adjust Face Expression', 'id': 4, 'hint': 'Success'}]}, {'attempt': 3, 'timestamp': '2026-03-30T10:19:05.610Z', 'results': [{'step': 'Adjust Background', 'id': 2, 'hint': 'Error'}, {'step': 'Adjust Face Position', 'id': 3, 'hint': 'Error'}, {'step': 'Find Face', 'id': 6, 'hint': 'Success'}, {'step': 'Adjust Lightning', 'id': 7, 'hint': 'Success'}, {'step': 'Adjust Face Expression', 'id': 4, 'hint': 'Success'}]}, {'attempt': 4, 'timestamp': '2026-03-30T10:19:13.573Z', 'results': [{'step': 'Adjust Face Position', 'id': 3, 'hint': 'Error'}, {'step': 'Find Face', 'id': 6, 'hint': 'Success'}, {'step': 'Adjust Lightning', 'id': 7, 'hint': 'Success'}, {'step': 'Adjust Background', 'id': 3, 'hint': 'Success'}, {'step': 'Adjust Face Expression', 'id': 4, 'hint': 'Success'}]}, {'attempt': 5, 'timestamp': '2026-03-30T10:19:20.190Z', 'results': [{'step': 'Adjust Face Position', 'id': 3, 'hint': 'Error'}, {'step': 'Find Face', 'id': 6, 'hint': 'Success'}, {'step': 'Adjust Lightning', 'id': 7, 'hint': 'Success'}, {'step': 'Adjust Background', 'id': 3, 'hint': 'Success'}, {'step': 'Adjust Face Expression', 'id': 4, 'hint': 'Success'}]}, {'attempt': 6, 'timestamp': '2026-03-30T10:19:26.136Z', 'results': [{'step': 'Find Face', 'id': 6, 'hint': 'Success'}, {'step': 'Adjust Lightning', 'id': 7, 'hint': 'Success'}, {'step': 'Adjust Background', 'id': 3, 'hint': 'Success'}, {'step': 'Adjust Face Position', 'id': 9, 'hint': 'Success'}, {'step': 'Adjust Face Expression', 'id': 4, 'hint': 'Success'}]}]",1,4,2,4,1,5,1,4,3,3,1,1,2,2,1,No guidance at all. Frustrating if photo gets rejected multiple times but i dont know why.,2026-03-30T10:17:55.578Z,80.954,20.0,1.4,1.3333333333333333,0.0,30,0.7333333333333333
P08,optimized,2026-03-30T10:21:14.862Z,2026-03-30T10:22:05.179Z,2,0,1,1,{'Adjust Face Position': {'7': 1}},0,{},9,"{'Find Face': {'6': 2}, 'Adjust Lightning': {'7': 2}, 'Adjust Background': {'3': 2}, 'Adjust Face Position': {'9': 1}, 'Adjust Face Expression': {'4': 2}}","[{'attempt': 1, 'timestamp': '2026-03-30T10:21:40.000Z', 'results': [{'step': 'Adjust Face Position', 'id': 7, 'hint': 'Error'}, {'step': 'Find Face', 'id': 6, 'hint': 'Success'}, {'step': 'Adjust Lightning', 'id': 7, 'hint': 'Success'}, {'step': 'Adjust Background', 'id': 3, 'hint': 'Success'}, {'step': 'Adjust Face Expression', 'id': 4, 'hint': 'Success'}]}, {'attempt': 2, 'timestamp': '2026-03-30T10:22:00.000Z', 'results': [{'step': 'Find Face', 'id': 6, 'hint': 'Success'}, {'step': 'Adjust Lightning', 'id': 7, 'hint': 'Success'}, {'step': 'Adjust Background', 'id': 3, 'hint': 'Success'}, {'step': 'Adjust Face Position', 'id': 9, 'hint': 'Success'}, {'step': 'Adjust Face Expression', 'id': 4, 'hint': 'Success'}]}]",4,1,5,1,4,2,4,2,4,1,5,5,4,4,4,"Good guidance, fixed quickly after one mistake.",2026-03-30T10:21:05.830Z,50.317,85.0,4.4,0.5,0.0,10,0.9
P09,baseline,2026-03-30T10:23:55.425Z,2026-03-30T10:25:11.824Z,5,0,1,7,"{'Adjust Background': {'2': 2}, 'Adjust Face Position': {'3': 4, '5': 1}}",2,{'Adjust Face Position': {'6': 2}},19,"{'Find Face': {'6': 5}, 'Adjust Lightning': {'7': 5}, 'Adjust Face Expression': {'4': 5}, 'Adjust Background': {'3': 3}, 'Adjust Face Position': {'9': 1}}","[{'attempt': 1, 'timestamp': '2026-03-30T10:24:07.510Z', 'results': [{'step': 'Adjust Background', 'id': 2, 'hint': 'Error'}, {'step': 'Adjust Face Position', 'id': 3, 'hint': 'Error'}, {'step': 'Adjust Face Position', 'id': 6, 'hint': 'Warning'}, {'step': 'Find Face', 'id': 6, 'hint': 'Success'}, {'step': 'Adjust Lightning', 'id': 7, 'hint': 'Success'}, {'step': 'Adjust Face Expression', 'id': 4, 'hint': 'Success'}]}, {'attempt': 2, 'timestamp': '2026-03-30T10:24:20.008Z', 'results': [{'step': 'Adjust Background', 'id': 2, 'hint': 'Error'}, {'step': 'Adjust Face Position', 'id': 5, 'hint': 'Error'}, {'step': 'Adjust Face Position', 'id': 3, 'hint': 'Error'}, {'step': 'Find Face', 'id': 6, 'hint': 'Success'}, {'step': 'Adjust Lightning', 'id': 7, 'hint': 'Success'}, {'step': 'Adjust Face Expression', 'id': 4, 'hint': 'Success'}]}, {'attempt': 3, 'timestamp': '2026-03-30T10:24:32.611Z', 'results': [{'step': 'Adjust Face Position', 'id': 3, 'hint': 'Error'}, {'step': 'Adjust Face Position', 'id': 6, 'hint': 'Warning'}, {'step': 'Find Face', 'id': 6, 'hint': 'Success'}, {'step': 'Adjust Lightning', 'id': 7, 'hint': 'Success'}, {'step': 'Adjust Background', 'id': 3, 'hint': 'Success'}, {'step': 'Adjust Face Expression', 'id': 4, 'hint': 'Success'}]}, {'attempt': 4, 'timestamp': '2026-03-30T10:25:02.633Z', 'results': [{'step': 'Adjust Face Position', 'id': 3, 'hint': 'Error'}, {'step': 'Find Face', 'id': 6, 'hint': 'Success'}, {'step': 'Adjust Lightning', 'id': 7, 'hint': 'Success'}, {'step': 'Adjust Background', 'id': 3, 'hint': 'Success'}, {'step': 'Adjust Face Expression', 'id': 4, 'hint': 'Success'}]}, {'attempt': 5, 'timestamp': '2026-03-30T10:25:09.283Z', 'results': [{'step': 'Find Face', 'id': 6, 'hint': 'Success'}, {'step': 'Adjust Lightning', 'id': 7, 'hint': 'Success'}, {'step': 'Adjust Background', 'id': 3, 'hint': 'Success'}, {'step': 'Adjust Face Position', 'id': 9, 'hint': 'Success'}, {'step': 'Adjust Face Expression', 'id': 4, 'hint': 'Success'}]}]",3,3,2,4,2,4,1,4,1,3,2,2,2,2,1,Without guidance very hard to achieve a compliant photo.,2026-03-30T10:23:30.881Z,76.399,27.5,1.8,1.4,0.4,28,0.6785714285714286
P10,optimized,2026-03-30T10:34:00.511Z,2026-03-30T10:34:55.207Z,1,1,1,0,{},1,{'Adjust Face Position': {'6': 1}},4,"{'Find Face': {'6': 1}, 'Adjust Lightning': {'7': 1}, 'Adjust Background': {'3': 1}, 'Adjust Face Expression': {'4': 1}}","[{'attempt': 1, 'timestamp': '2026-03-30T10:34:45.773Z', 'results': [{'step': 'Adjust Face Position', 'id': 6, 'hint': 'Warning'}, {'step': 'Find Face', 'id': 6, 'hint': 'Success'}, {'step': 'Adjust Lightning', 'id': 7, 'hint': 'Success'}, {'step': 'Adjust Background', 'id': 3, 'hint': 'Success'}, {'step': 'Adjust Face Expression', 'id': 4, 'hint': 'Success'}]}]",5,2,4,1,4,2,4,1,4,1,5,4,4,4,4,Minor adjustment needed but overall very easy.,2026-03-30T10:26:52.432Z,54.696,85.0,4.2,0.0,1.0,5,0.8
